NBDL-HR5SFP6WHKVZQG.v1.mt	Chrysiptera taupou 
NBDL-HR5S2B6QM2XVA1.v1.mt	Pteraclis velifera 
NBDL-HK3QQM0XQ1K0S1.v1.mt	Gymnocranius grandoculis 
NBDL-HR5S2B2TP356CQ.v1.mt	Salarias guttatus 
NBDL-HR5S2B0CK36JKJ.v1.mt	Chaetodon citrinellus 
NBDL-HR5S2AY0J4GW41.v1.mt	Kyphosus cinerascens 
NBDL-HR5SFNXYMTSGAS.v1.mt	Amblyglyphidodon curacao 
NBDL-HR5SFP11PM8EFV.v1.mt	Zebrasoma veliferum 
NBDL-HK3SJ4E4NNXZH8.v1.mt	Acanthopagrus pacificus 
NBDL-HK3T892DPMB0YE.v1.mt	Pelates octolineatus 
NBDL-HR5S2AXXH4JSJG.v1.mt	Acanthurus albipectoralis 
NBDL-HR5S2B0DH36MWE.v1.mt	Ecsenius bicolor 
NBDL-HK3QQM10N1N9WD.v1.mt	Gymnocranius satoi 
NBDL-HR5S2B2QM32VXK.v1.mt	Chaetodon flavirostris 
NBDL-HR5S2B08K36R52.v1.mt	Kyphosus vaigiensis 
NBDL-HHG28F0YQBG65W.v1.mt	Plagiogeneion macrolepis 
NBDL-HK3T892PMMBENT.v1.mt	Amniataba caudavittata 
NBDL-HR5S2AYQM4H02N.v1.mt	Zoramia viridiventer 
NBDL-HK3T892EMMB18T.v1.mt	Pelates quadrilineatus 
NBDL-HK3T5NS4JR42GE.v1.mt	Gasterochisma melampus 
NBDL-HR5SFP02MMBX5Q.v1.mt	Acanthurus dussumieri 
NBDL-HK3SPRQKHH3H6Q.v1.mt	Hapalogenys dampieriensis 
NBDL-HR5SFP3PNM11NT.v1.mt	Acanthochromis polyacanthus 
NBDL-HR5SFNYQKTZWY8.v1.mt	Trinorfolkia clarkei 
NBDL-HK3T5NS5MR407J.v1.mt	Cybiosarda elegans 
NBDL-HK3SPRQSNH3VQF.v1.mt	Pomadasys kaakan 
NBDL-HK3T5NT7QR0VT7.v1.mt	Leptobrama pectoralis 
