Glaucostegus	Glaucostegidae	Rhinopristiformes	Elasmobranchii
Starksia	Labrisomidae	Blenniiformes	Teleostei
Microspathodon	Pomacentridae	Ovalentaria/misc	Teleostei
Cromileptes	Epinephelidae	Perciformes	Teleostei
Leptopanchax	Rivulidae	Cyprinodontiformes	Teleostei
Scardinius	Leuciscidae	Cypriniformes	Teleostei
Rhinecanthus	Balistidae	Tetraodontiformes	Teleostei
Leucocarbo	Phalacrocoracidae	Pelecaniformes	Aves
Heliotrygon	Potamotrygonidae	Myliobatiformes	Elasmobranchii
Nexilosus	Pomacentridae	Ovalentaria/misc	Teleostei
Signigobius	Gobiidae	Gobiiformes	Teleostei
Spicomacrurus	Macrouridae	Gadiformes	Teleostei
Pagetodes	Channichthyidae	Perciformes/Notothenioidei	Teleostei
Balistapus	Balistidae	Tetraodontiformes	Teleostei
Panna	Sciaenidae	Eupercaria/misc	Teleostei
Mataeocephalus	Macrouridae	Gadiformes	Teleostei
Eudocimus	Threskiornithidae	Ciconiiformes	Aves
Halichoeres	Labridae	Eupercaria/misc	Teleostei
Dalophis	Ophichthidae	Anguilliformes	Teleostei
Lepidoperca	Anthiadidae	Perciformes/Serranoidei	Teleostei
Caragobius	Gobiidae	Gobiiformes	Teleostei
Achiropsetta	Achiropsettidae	Pleuronectiformes	Teleostei
Apricaphanius	Aphaniidae	Cyprinodontiformes	Teleostei
Paralichthodes	Paralichthodidae	Pleuronectiformes	Teleostei
Tosarhombus	Bothidae	Pleuronectiformes	Teleostei
Blennodon	Tripterygiidae	Blenniiformes	Teleostei
Pseudotylosurus	Belonidae	Beloniformes	Teleostei
Psettodes	Psettodidae	Pleuronectiformes	Teleostei
Orcaella	Delphinidae	Cetartiodactyla	Mammalia
Caesio	Caesionidae	Eupercaria/misc	Teleostei
Sphyrna	Sphyrnidae	Carcharhiniformes	Elasmobranchii
Pogonophryne	Artedidraconidae	Perciformes/Notothenioidei	Teleostei
Rupornis	Accipitridae	Falconiformes	Aves
Typhlogobius	Gobiidae	Gobiiformes	Teleostei
Heterophallus	Poeciliidae	Cyprinodontiformes	Teleostei
Oxyjulis	Labridae	Eupercaria/misc	Teleostei
Coenocorypha	Scolopacidae	Charadriiformes	Aves
Epinephelus	Epinephelidae	Perciformes/Serranoidei	Teleostei
Chauliodus	Stomiidae	Stomiiformes	Teleostei
Cherublemma	Ophidiidae	Ophidiiformes	Teleostei
Pelecus	Leuciscidae	Cypriniformes	Teleostei
Zoarces	Zoarcidae	Perciformes/Zoarcoidei	Teleostei
Rhinichthys	Leuciscidae	Cypriniformes	Teleostei
